rank,Name,Img,Page_link,Genres,Percentage,Users,row format,episodes,date,status,Action,Adventure,Drama,Fantasy,Mystery,Slice of Life,Comedy,Sci-Fi,Psychological,Thriller,Romance,Supernatural,Sports,Ecchi,Mecha,Horror,Music,Mahou Shoujo
238,Uchouten Kazoku 2,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx97642-zQQJl4hv4Prx.jpg,https://anilist.co/anime/97642/Uchouten-Kazoku-2/,"['Comedy', 'Drama', 'Fantasy']",80,9938,TV Show,12,Spring 2017,Finished,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
239,Shokugeki no Souma: Ni no Sara,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx21518-uBqzDGIuSxJ5.jpg,https://anilist.co/anime/21518/Shokugeki-no-Souma-Ni-no-Sara/,"['Action', 'Comedy', 'Ecchi']",80,94169,TV Show,13,Summer 2016,Finished,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
240,Death Parade,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx20931-bktYqOcxPERi.jpg,https://anilist.co/anime/20931/Death-Parade/,"['Drama', 'Mystery', 'Psychological', 'Supernatural']",80,153032,TV Show,12,Winter 2015,Finished,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
241,Kuroko no Basket 2nd Season,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx16894-neECBwDdiegB.jpg,https://anilist.co/anime/16894/Kuroko-no-Basket-2nd-Season/,"['Comedy', 'Sports']",80,57473,TV Show,25,Fall 2013,Finished,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
242,Shoujo Kakumei Utena,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx440-7muMZaQ7r84M.jpg,https://anilist.co/anime/440/Shoujo-Kakumei-Utena/,"['Drama', 'Fantasy', 'Mystery', 'Psychological', 'Romance']",80,24847,TV Show,39,Spring 1997,Finished,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
243,Working!!! Lord Of The Takanashi,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx21384-YR0hAau5UHAB.png,https://anilist.co/anime/21384/Working-Lord-Of-The-Takanashi/,"['Comedy', 'Slice of Life']",80,12363,Special,1,Fall 2015,Finished,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
244,Kaguya-hime no Monogatari,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/16664-Wakrc8rbBkor.jpg,https://anilist.co/anime/16664/Kaguyahime-no-Monogatari/,"['Drama', 'Fantasy']",80,20868,Movie,2,Fall 2013,Finished,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,REDLINE,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx6675-fFFoRB7FqNau.png,https://anilist.co/anime/6675/REDLINE/,"['Action', 'Romance', 'Sci-Fi', 'Sports']",80,36396,Movie,1,Summer 2009,Finished,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
246,Naruto: Shippuuden,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx1735-80JNLAlnxrKj.png,https://anilist.co/anime/1735/Naruto-Shippuuden/,"['Action', 'Comedy']",80,158994,TV Show,500,2007 - 2017,Finished,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
247,Princess Tutu,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx721-rFSdW50Kl64n.jpg,https://anilist.co/anime/721/Princess-Tutu/,"['Drama', 'Fantasy', 'Mahou Shoujo', 'Mystery', 'Psychological', 'Romance']",80,17235,TV Show,38,Summer 2002,Finished,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1
248,Tonari no Totoro,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx523-gOsP34LWBXTn.jpg,https://anilist.co/anime/523/Tonari-no-Totoro/,"['Adventure', 'Fantasy', 'Supernatural']",80,75701,Movie,1,Spring 1988,Finished,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
249,Tenkuu no Shiro Laputa,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx513-G47zqEhndFBY.jpg,https://anilist.co/anime/513/Tenkuu-no-Shiro-Laputa/,"['Adventure', 'Fantasy', 'Romance', 'Sci-Fi']",80,39128,Movie,2,Summer 1986,Finished,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
250,Kawaki wo Ameku,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx107704-3Noksvj7wah5.png,https://anilist.co/anime/107704/Kawaki-wo-Ameku/,['Music'],80,4414,Music,1,2019,Finished,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
251,ReLIFE Kanketsu-hen,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx98635-U7XClVuynqfY.png,https://anilist.co/anime/98635/ReLIFE-Kanketsuhen/,"['Comedy', 'Drama', 'Romance', 'Slice of Life']",80,34272,OVA,4,Winter 2018,Finished,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
252,Tsuki ga Kirei,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx98202-H6RtsIMZPALF.png,https://anilist.co/anime/98202/Tsuki-ga-Kirei/,"['Drama', 'Romance', 'Slice of Life']",80,54803,TV Show,12,Spring 2017,Finished,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
253,Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx21624-szbmwyC3sJos.jpg,https://anilist.co/anime/21624/SteinsGate-Kyoukaimenjou-no-Missing-Link--Divide-By-Zero/,"['Sci-Fi', 'Thriller']",80,28776,OVA,1,Fall 2015,Finished,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
254,Gintamaº: Aizome Kaori-hen,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/21588-ds31i1prn8b4.jpg,https://anilist.co/anime/21588/Gintama-Aizome-Kaorihen/,['Comedy'],80,7848,OVA,2,Summer 2016,Finished,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
255,Fate/stay night: Unlimited Blade Works,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx19603-pc0lrFinBpTg.jpg,https://anilist.co/anime/19603/Fatestay-night-Unlimited-Blade-Works/,"['Action', 'Fantasy', 'Supernatural']",80,89845,TV Show,13,Fall 2014,Finished,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
256,Danshi Koukousei no Nichijou,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx11843-KK3X2ccAlUwI.jpg,https://anilist.co/anime/11843/Danshi-Koukousei-no-Nichijou/,"['Comedy', 'Slice of Life']",80,73143,TV Show,12,Winter 2012,Finished,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
257,Nodame Cantabile Finale,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx5690-FEBLLRnlMvlx.jpg,https://anilist.co/anime/5690/Nodame-Cantabile-Finale/,"['Comedy', 'Music', 'Romance']",80,11002,TV Show,11,Winter 2010,Finished,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
258,One Outs,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx5040-OpWkR6shhDv1.jpg,https://anilist.co/anime/5040/One-Outs/,"['Psychological', 'Sports']",80,21545,TV Show,25,Fall 2008,Finished,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
259,Planetes,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx329-QXXJHPdNIoJR.png,https://anilist.co/anime/329/Planetes/,"['Drama', 'Romance', 'Sci-Fi', 'Slice of Life']",80,25428,TV Show,26,Fall 2003,Finished,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
260,Hajime no Ippo: Mashiba vs. Kimura,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b265-1KDXkfhuaDnm.jpg,https://anilist.co/anime/265/Hajime-no-Ippo-Mashiba-vs-Kimura/,"['Comedy', 'Sports']",80,9291,OVA,1,Fall 2003,Finished,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
261,Boku no Hero Academia,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx21459-oZMZ7JwS5Sxq.jpg,https://anilist.co/anime/21459/Boku-no-Hero-Academia/,"['Action', 'Adventure', 'Comedy']",80,263179,TV Show,13,Spring 2016,Finished,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
262,Little Busters!: Refrain,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx18195-SXGTMYGxwvxI.png,https://anilist.co/anime/18195/Little-Busters-Refrain/,"['Drama', 'Romance', 'Slice of Life', 'Supernatural']",80,17747,TV Show,13,Fall 2013,Finished,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
263,Nodame Cantabile,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx1698-VhVaiOLkcGCp.jpg,https://anilist.co/anime/1698/Nodame-Cantabile/,"['Comedy', 'Drama', 'Music', 'Romance', 'Slice of Life']",80,27761,TV Show,23,Winter 2007,Finished,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
264,Cardcaptor Sakura Movie 2: Fuinsareta Card,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx372-fTXJwelrAAC6.png,https://anilist.co/anime/372/Cardcaptor-Sakura-Movie-2-Fuinsareta-Card/,"['Drama', 'Fantasy', 'Mahou Shoujo', 'Romance']",80,10761,Movie,1,Summer 2000,Finished,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
265,Cardcaptor Sakura,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx232-ZqAR0y2xkowj.png,https://anilist.co/anime/232/Cardcaptor-Sakura/,"['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Mahou Shoujo', 'Romance']",80,36790,TV Show,70,1998 - 2000,Finished,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
266,Koukaku Kidoutai,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx43-gHMR72EkEP4o.png,https://anilist.co/anime/43/Koukaku-Kidoutai/,"['Action', 'Psychological', 'Sci-Fi']",80,51752,Movie,1,Fall 1995,Finished,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
267,Kono Subarashii Sekai ni Shukufuku wo!,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx21202-lfen17D6Eksp.png,https://anilist.co/anime/21202/Kono-Subarashii-Sekai-ni-Shukufuku-wo/,"['Adventure', 'Comedy', 'Fantasy']",80,164613,TV Show,10,Winter 2016,Finished,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
268,Bakemono no Ko,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx20981-D6PAJAOC4jPc.jpg,https://anilist.co/anime/20981/Bakemono-no-Ko/,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Supernatural']",80,40516,Movie,1,Summer 2015,Finished,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
269,Mimi wo Sumaseba,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx585-5uq7j2xNNVmN.jpg,https://anilist.co/anime/585/Mimi-wo-Sumaseba/,"['Adventure', 'Drama', 'Romance', 'Slice of Life']",80,28270,Movie,1,Summer 1995,Finished,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
270,Hajime no Ippo: Champion Road,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/264.jpg,https://anilist.co/anime/264/Hajime-no-Ippo-Champion-Road/,"['Comedy', 'Sports']",80,10879,Special,1,Spring 2003,Finished,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
271,Eizouken ni wa Te wo Dasu na!,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx109298-YvjfI88hX76T.png,https://anilist.co/anime/109298/Eizouken-ni-wa-Te-wo-Dasu-na/,"['Adventure', 'Comedy']",80,40328,TV Show,12,Winter 2020,Finished,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
272,Made in Abyss: Tabidachi no Yoake,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx101343-t4USwIo7aPSl.png,https://anilist.co/anime/101343/Made-in-Abyss-Tabidachi-no-Yoake/,"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",80,9741,Movie,2,Winter 2019,Finished,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
273,Ansatsu Kyoushitsu,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx20755-q0b3Ok1cAbPd.jpg,https://anilist.co/anime/20755/Ansatsu-Kyoushitsu/,"['Action', 'Comedy', 'Supernatural']",80,180274,TV Show,22,Winter 2015,Finished,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
274,Kingdom 2,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx17389-RWJPpnTS2PmC.png,https://anilist.co/anime/17389/Kingdom-2/,['Action'],80,7843,TV Show,39,Summer 2013,Finished,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,Nisemonogatari,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx11597-ApDcMuPvRhgr.jpg,https://anilist.co/anime/11597/Nisemonogatari/,"['Comedy', 'Drama', 'Ecchi', 'Mystery', 'Psychological', 'Supernatural']",80,79748,TV Show,11,Winter 2012,Finished,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0
276,Quanzhi Gaoshou Specials,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx101410-DS14ggjKRPoU.png,https://anilist.co/anime/101410/Quanzhi-Gaoshou-Specials/,"['Action', 'Comedy']",80,12362,ONA,3,2018,Finished,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
277,Natsume Yuujinchou Roku Specials,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx100283-R41Jk9AHLuXj.png,https://anilist.co/anime/100283/Natsume-Yuujinchou-Roku-Specials/,"['Drama', 'Fantasy', 'Slice of Life', 'Supernatural']",80,4625,Special,2,Fall 2017,Finished,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
278,Natsume Yuujinchou Go Specials,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx99363-vFOXsEm0340k.png,https://anilist.co/anime/99363/Natsume-Yuujinchou-Go-Specials/,"['Drama', 'Fantasy', 'Slice of Life', 'Supernatural']",80,4586,Special,2,Spring 2017,Finished,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
279,InuYasha: Kanketsu-hen,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx6811-DUsNLwQAOB7o.png,https://anilist.co/anime/6811/InuYasha-Kanketsuhen/,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance']",80,19441,TV Show,26,Fall 2009,Finished,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
280,xxxHOLiC Kei,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx3091-97Yr9KdWI3Ou.jpg,https://anilist.co/anime/3091/xxxHOLiC-Kei/,"['Comedy', 'Drama', 'Mystery', 'Psychological', 'Supernatural']",80,9996,TV Show,13,Spring 2008,Finished,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0
281,Higurashi no Naku Koro ni Kai,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx1889-NqhWV3QwBXZl.jpg,https://anilist.co/anime/1889/Higurashi-no-Naku-Koro-ni-Kai/,"['Horror', 'Mystery', 'Psychological', 'Supernatural', 'Thriller']",80,38046,TV Show,24,Summer 2007,Finished,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0
282,High Score Girl II,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx108581-DNnz0Ou8qcIf.jpg,https://anilist.co/anime/108581/High-Score-Girl-II/,"['Comedy', 'Drama', 'Romance']",80,13099,TV Show,9,Fall 2019,Finished,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
283,BEASTARS,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx107660-s92uu0mn2NFl.png,https://anilist.co/anime/107660/BEASTARS/,"['Drama', 'Psychological', 'Romance', 'Slice of Life']",80,70144,TV Show,12,Fall 2019,Finished,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
284,Dororo,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx101347-2J2p8qJpxpfZ.jpg,https://anilist.co/anime/101347/Dororo/,"['Action', 'Adventure', 'Drama', 'Supernatural']",80,97363,TV Show,24,Winter 2019,Finished,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
285,Shokugeki no Souma: San no Sara,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx99255-heGTtj5b4owl.jpg,https://anilist.co/anime/99255/Shokugeki-no-Souma-San-no-Sara/,"['Action', 'Comedy', 'Ecchi']",80,80742,TV Show,12,Fall 2017,Finished,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
286,Haikyuu!!: Concept no Tatakai,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx98885-NLAb0XYSOjfn.png,https://anilist.co/anime/98885/Haikyuu-Concept-no-Tatakai/,"['Comedy', 'Drama', 'Sports']",80,7267,Movie,1,Summer 2017,Finished,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
287,Shelter,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx97731-gYxm0WorfNPM.png,https://anilist.co/anime/97731/Shelter/,"['Music', 'Sci-Fi']",80,38258,Music,1,2016,Finished,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
288,Tsukimonogatari,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx20918-2InvV6EsOScm.png,https://anilist.co/anime/20918/Tsukimonogatari/,"['Comedy', 'Ecchi', 'Mystery', 'Supernatural']",80,50646,TV Show,4,Fall 2014,Finished,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0
289,Kamisama Hajimemashita◎,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx20801-XUgcVYJv6qNl.png,https://anilist.co/anime/20801/Kamisama-Hajimemashita/,"['Comedy', 'Fantasy', 'Romance', 'Supernatural']",80,24741,TV Show,12,Winter 2015,Finished,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0
290,Hyouka,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx12189-lMhv0yetGUc5.jpg,https://anilist.co/anime/12189/Hyouka/,"['Mystery', 'Slice of Life']",80,115905,TV Show,22,Spring 2012,Finished,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
291,Mahou Shoujo Madoka☆Magica Movie: Hajimari no Monogatari,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx11977-U3ssJ4GRFRbl.png,https://anilist.co/anime/11977/Mahou-Shoujo-MadokaMagica-Movie-Hajimari-no-Monogatari/,"['Action', 'Drama', 'Fantasy', 'Mahou Shoujo', 'Psychological', 'Thriller']",80,23855,Movie,2,Fall 2012,Finished,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
292,Bakuman.,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx7674-DtZsn5IlERGO.png,https://anilist.co/anime/7674/Bakuman/,"['Comedy', 'Drama', 'Romance']",80,51210,TV Show,25,Fall 2010,Finished,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
293,Durarara!!,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx6746-Q4EmstN2fy0R.png,https://anilist.co/anime/6746/Durarara/,"['Action', 'Mystery', 'Supernatural']",80,116774,TV Show,24,Winter 2010,Finished,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
294,Stranger: Mukoh Hadan,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx2418-AoLtfG2da5yo.jpg,https://anilist.co/anime/2418/Stranger-Mukoh-Hadan/,"['Action', 'Adventure']",80,31471,Movie,1,Fall 2007,Finished,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,Hachimitsu to Clover II,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b1142-Y3IHBNnS6DqS.jpg,https://anilist.co/anime/1142/Hachimitsu-to-Clover-II/,"['Drama', 'Romance', 'Slice of Life']",80,9982,TV Show,12,Summer 2006,Finished,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
296,Major S1,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx627-B0V5aoDfwtz0.png,https://anilist.co/anime/627/Major-S1/,"['Comedy', 'Drama', 'Sports']",80,9855,TV Show,26,Fall 2004,Finished,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
297,Haikyuu!! Riku VS Kuu,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx111790-n5pkM1SYAqH2.png,https://anilist.co/anime/111790/Haikyuu-Riku-VS-Kuu/,"['Comedy', 'Drama', 'Sports']",80,34152,OVA,2,Winter 2020,Finished,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
298,Dragon Ball Super: Broly,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx101302-V6oDyQeArTRP.jpg,https://anilist.co/anime/101302/Dragon-Ball-Super-Broly/,"['Action', 'Adventure']",80,29279,Movie,1,Fall 2018,Finished,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,Promare,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx99425-6xPtmOpBnlLY.png,https://anilist.co/anime/99425/Promare/,"['Action', 'Mecha', 'Sci-Fi']",80,34795,Movie,1,Spring 2019,Finished,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
300,Kill la Kill,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx18679-zE07Y4SFaOiO.png,https://anilist.co/anime/18679/Kill-la-Kill/,"['Action', 'Comedy', 'Ecchi']",80,155394,TV Show,24,Fall 2013,Finished,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
301,Major: World Series,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx11917-053ZcENZWJxS.png,https://anilist.co/anime/11917/Major-World-Series/,"['Comedy', 'Drama', 'Sports']",80,3692,OVA,2,Winter 2011,Finished,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
302,Major S3,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx1842-HtJQ2w0taDrN.png,https://anilist.co/anime/1842/Major-S3/,"['Drama', 'Sports']",80,6028,TV Show,26,Winter 2007,Finished,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
303,Black Lagoon: The Second Barrage,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx1519-cScqJxQW3LNL.png,https://anilist.co/anime/1519/Black-Lagoon-The-Second-Barrage/,"['Action', 'Adventure', 'Drama', 'Thriller']",80,37814,TV Show,12,Fall 2006,Finished,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
304,Versailles no Bara,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx338-aik4TqDtm31q.png,https://anilist.co/anime/338/Versailles-no-Bara/,"['Adventure', 'Drama', 'Romance']",80,10291,TV Show,40,Fall 1979,Finished,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
305,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx113693-3tHbslFxD47R.jpg,https://anilist.co/anime/113693/Honzuki-no-Gekokujou-Shisho-ni-Naru-Tame-ni-wa-Shudan-wo-Erandeiraremasen-2/,"['Fantasy', 'Slice of Life']",80,16077,TV Show,12,Spring 2020,Finished,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
306,Toaru Kagaku no Railgun S,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx16049-FbOhOsQAuisF.jpg,https://anilist.co/anime/16049/Toaru-Kagaku-no-Railgun-S/,"['Action', 'Fantasy', 'Sci-Fi']",80,42636,TV Show,24,Spring 2013,Finished,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
307,Sakurasou no Pet na Kanojo,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx13759-9btTLB0wBf6p.jpg,https://anilist.co/anime/13759/Sakurasou-no-Pet-na-Kanojo/,"['Comedy', 'Drama', 'Romance', 'Slice of Life']",80,100926,TV Show,24,Fall 2012,Finished,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
308,Kemono no Souja Erin,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx5420-QyDsTv0k8eWx.jpg,https://anilist.co/anime/5420/Kemono-no-Souja-Erin/,"['Drama', 'Fantasy']",80,10637,TV Show,50,Winter 2009,Finished,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309,Major S2,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx558-150bXAI8K3ab.png,https://anilist.co/anime/558/Major-S2/,"['Comedy', 'Drama', 'Sports']",80,6334,TV Show,26,Winter 2005,Finished,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
310,Golden Kamuy 2,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx102977-gUejfwQWpnzX.png,https://anilist.co/anime/102977/Golden-Kamuy-2/,"['Action', 'Adventure', 'Comedy']",79,17904,TV Show,12,Fall 2018,Finished,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
311,No Game No Life,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx19815-bIo51RMWWhLv.jpg,https://anilist.co/anime/19815/No-Game-No-Life/,"['Adventure', 'Comedy', 'Ecchi', 'Fantasy']",79,196464,TV Show,12,Spring 2014,Finished,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
312,Initial D Final Stage,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx19613-5vb40lsFXudd.png,https://anilist.co/anime/19613/Initial-D-Final-Stage/,"['Action', 'Sports']",79,10939,TV Show,4,Spring 2014,Finished,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
313,Mahou Shoujo Lyrical Nanoha: The Movie 2nd A's,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx10153-8xp0PkSWLHHK.jpg,https://anilist.co/anime/10153/Mahou-Shoujo-Lyrical-Nanoha-The-Movie-2nd-As/,"['Action', 'Drama', 'Mahou Shoujo', 'Sci-Fi']",79,3797,Movie,2,Summer 2012,Finished,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
314,Tsubasa: Tokyo Revelations,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx2685-ZP46utTR0mv8.jpg,https://anilist.co/anime/2685/Tsubasa-Tokyo-Revelations/,"['Adventure', 'Drama', 'Fantasy', 'Romance']",79,6957,OVA,3,Fall 2007,Finished,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
