rank,name,link,img_link,Studios,Source,Genres,Popularity,Favorites,type,date,members,score,Watching,Completed,On-Hold,Dropped,Plan_to_Watch,Total,eps,Action,Military,Adventure,Comedy,Drama,Magic,Fantasy,Shounen,Thriller,Sci-Fi,Historical,Parody,Samurai,Super Power,Space,Mystery,Game,Seinen,Slice of Life,School,Romance,Supernatural,Vampire,Mecha,Sports,Psychological,Josei,Music,Horror,Police,Martial Arts,Demons,Shoujo,Dementia,Harem,Ecchi,Shounen Ai,Cars,Kids,Shoujo Ai
25,Cowboy Bebop,https://myanimelist.net/anime/1/Cowboy_Bebop,https://cdn.myanimelist.net/r/100x140/images/anime/4/19644.jpg?s=7873ad89996b0d6be8dd51e60d88d82c,Sunrise,Original,"['Action', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi', 'Space']",37,58040,TV,Apr 1998 - Apr 1999,1148976,8.79,97034,668967,65476,24446,297621,1153544,26,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen,https://myanimelist.net/anime/40591/Kaguya-sama_wa_Kokurasetai__Tensai-tachi_no_Renai_Zunousen,https://cdn.myanimelist.net/r/100x140/images/anime/1764/106659.jpg?s=31550f89f62679c9820095853bb522a6,A-1 Pictures,Manga,"['Comedy', 'Psychological', 'Romance', 'School', 'Seinen']",194,12198,TV,Apr 2020 - Jun 2020,523534,8.79,76758,331627,6746,3028,107306,525465,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,https://myanimelist.net/anime/33095/Shouwa_Genroku_Rakugo_Shinjuu__Sukeroku_Futatabi-hen,https://cdn.myanimelist.net/r/100x140/images/anime/10/82947.jpg?s=dd26fe8a0b55291199a7064ab97e8145,Studio Deen,Manga,"['Drama', 'Historical', 'Josei']",1050,2466,TV,Jan 2017 - Mar 2017,131411,8.79,9040,54374,4430,2734,61016,131594,12,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,https://myanimelist.net/anime/36862/Made_in_Abyss_Movie_3__Fukaki_Tamashii_no_Reimei,https://cdn.myanimelist.net/r/100x140/images/anime/1175/101926.jpg?s=b63303a69d87f7ef9088864f938754e9,Kinema Citrus,Web manga,"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",745,1175,Movie,Jan 2020 - Jan 2020,183983,8.78,3883,54142,1135,305,125137,184602,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Monogatari Series: Second Season,https://myanimelist.net/anime/17074/Monogatari_Series__Second_Season,https://cdn.myanimelist.net/r/100x140/images/anime/3/52133.jpg?s=ee34d5ecaaf44899161808a57d55d7b8,Shaft,Light novel,"['Mystery', 'Comedy', 'Supernatural', 'Romance', 'Vampire']",224,18509,TV,Jul 2013 - Dec 2013,478585,8.78,32657,317970,14766,5152,108963,479508,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Haikyuu!! Second Season,https://myanimelist.net/anime/28891/Haikyuu_Second_Season,https://cdn.myanimelist.net/r/100x140/images/anime/9/76662.jpg?s=2ddc449aaa90570dc965ba6d9d348ebc,Production I.G,Manga,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']",101,12706,TV,Oct 2015 - Mar 2016,750672,8.77,41246,628180,9740,4263,69821,753250,25,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Mushishi Zoku Shou 2nd Season,https://myanimelist.net/anime/24701/Mushishi_Zoku_Shou_2nd_Season,https://cdn.myanimelist.net/r/100x140/images/anime/9/68095.jpg?s=847f720879a312ca3ac84fd8327b174e,Artland,Manga,"['Adventure', 'Fantasy', 'Historical', 'Mystery', 'Seinen', 'Slice of Life', 'Supernatural']",728,1135,TV,Oct 2014 - Dec 2014,186903,8.77,10167,94865,4824,2268,75086,187210,10,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Shigatsu wa Kimi no Uso,https://myanimelist.net/anime/23273/Shigatsu_wa_Kimi_no_Uso,https://cdn.myanimelist.net/r/100x140/images/anime/3/67177.jpg?s=4864d877e3763400abe924cb27b82cc2,A-1 Pictures,Manga,"['Drama', 'Music', 'Romance', 'School', 'Shounen']",24,65066,TV,Oct 2014 - Mar 2015,1302376,8.77,72510,934839,35718,30711,232237,1306015,22,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33,Made in Abyss,https://myanimelist.net/anime/34599/Made_in_Abyss,https://cdn.myanimelist.net/r/100x140/images/anime/6/86733.jpg?s=ff773aca2bed4fe79efd6a5b6ff0e911,Kinema Citrus,Web manga,"['Sci-Fi', 'Adventure', 'Mystery', 'Drama', 'Fantasy']",95,28074,TV,Jul 2017 - Sep 2017,786183,8.76,51164,503028,18264,10888,204141,787485,13,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Hajime no Ippo,https://myanimelist.net/anime/263/Hajime_no_Ippo,https://cdn.myanimelist.net/r/100x140/images/anime/4/86334.jpg?s=448fd8dfdff2a7db7de2b85633a691f2,Madhouse,Manga,"['Comedy', 'Sports', 'Drama', 'Shounen']",334,14946,TV,Oct 2000 - Mar 2002,360984,8.75,29290,210667,18385,9079,94705,362126,75,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Monster,https://myanimelist.net/anime/19/Monster,https://cdn.myanimelist.net/r/100x140/images/anime/10/18793.jpg?s=a195ca612dd64dac5ffb27c8ea9d0b32,Madhouse,Manga,"['Drama', 'Horror', 'Mystery', 'Police', 'Psychological', 'Seinen', 'Thriller']",171,27039,TV,Apr 2004 - Sep 2005,561165,8.74,58685,199539,44633,21883,238933,563673,74,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
36,Mononoke Hime,https://myanimelist.net/anime/164/Mononoke_Hime,https://cdn.myanimelist.net/r/100x140/images/anime/7/75919.jpg?s=ec4a31ebc5b430efe3ed391d96c228a3,Studio Ghibli,Original,"['Action', 'Adventure', 'Fantasy']",86,16054,Movie,Jul 1997 - Jul 1997,810376,8.73,10533,682667,3118,1281,115525,813124,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Mushishi Zoku Shou,https://myanimelist.net/anime/21939/Mushishi_Zoku_Shou,https://cdn.myanimelist.net/r/100x140/images/anime/13/58533.jpg?s=8b4c39ac1694d8b1ad2a1dcc504691f6,Artland,Manga,"['Adventure', 'Slice of Life', 'Mystery', 'Historical', 'Supernatural', 'Fantasy', 'Seinen']",622,1327,TV,Apr 2014 - Jun 2014,215292,8.73,12155,108919,5855,2491,86202,215622,10,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,https://myanimelist.net/anime/44/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Tsuioku-hen,https://cdn.myanimelist.net/r/100x140/images/anime/1807/102419.jpg?s=70a1f6f0c9ee71757128a77499912868,Studio Deen,Manga,"['Action', 'Historical', 'Drama', 'Romance', 'Martial Arts', 'Samurai', 'Shounen']",604,5950,OVA,Feb 1999 - Sep 1999,221043,8.73,6083,146071,2995,1745,64544,221438,4,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
39,Vinland Saga,https://myanimelist.net/anime/37521/Vinland_Saga,https://cdn.myanimelist.net/r/100x140/images/anime/1500/103005.jpg?s=175909bd438e4f7969afdae5a2f58931,Wit Studio,Manga,"['Action', 'Adventure', 'Drama', 'Historical', 'Seinen']",169,13839,TV,Jul 2019 - Dec 2019,561937,8.72,81168,308635,16955,9819,146889,563466,24,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Code Geass: Hangyaku no Lelouch,https://myanimelist.net/anime/1575/Code_Geass__Hangyaku_no_Lelouch,https://cdn.myanimelist.net/r/100x140/images/anime/5/50331.jpg?s=f941cb2733330fae63d3234329719287,Sunrise,Original,"['Action', 'Military', 'Sci-Fi', 'Super Power', 'Drama', 'Mecha', 'School']",13,86112,TV,Oct 2006 - Jul 2007,1474175,8.72,64042,1135333,37750,28870,212960,1478955,25,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Great Teacher Onizuka,https://myanimelist.net/anime/245/Great_Teacher_Onizuka,https://cdn.myanimelist.net/r/100x140/images/anime/13/11460.jpg?s=8134d33ff056d87cfa65345aaec756f9,Studio Pierrot,Manga,"['Slice of Life', 'Comedy', 'Drama', 'School', 'Shounen']",178,19778,TV,Jun 1999 - Sep 2000,549502,8.7,41653,316951,30608,17073,144883,551168,43,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Mushishi,https://myanimelist.net/anime/457/Mushishi,https://cdn.myanimelist.net/r/100x140/images/anime/2/73862.jpg?s=bd3f3140d4768f5f31ac5d5539056068,Artland,Manga,"['Adventure', 'Slice of Life', 'Mystery', 'Historical', 'Supernatural', 'Fantasy', 'Seinen']",159,22241,TV,Oct 2005 - Jun 2006,583954,8.7,52873,225569,40850,19003,247117,585412,26,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,https://myanimelist.net/anime/38329/Seishun_Buta_Yarou_wa_Yumemiru_Shoujo_no_Yume_wo_Minai,https://cdn.myanimelist.net/r/100x140/images/anime/1613/102179.jpg?s=827c2a8558037a39b3a45f05c61f219a,CloverWorks,Light novel,"['Supernatural', 'Drama', 'Romance', 'School']",438,5217,Movie,Jun 2019 - Jun 2019,290248,8.7,7528,201812,1742,711,79548,291341,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Hajime no Ippo: New Challenger,https://myanimelist.net/anime/5258/Hajime_no_Ippo__New_Challenger,https://cdn.myanimelist.net/r/100x140/images/anime/8/56617.jpg?s=c9e62681de46d5ec39a4c9cc8f222e97,Madhouse,Manga,"['Comedy', 'Sports', 'Drama', 'Shounen']",711,1538,TV,Jan 2009 - Jul 2009,191063,8.68,6689,149148,2597,1476,31595,191505,26,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Natsume Yuujinchou Shi,https://myanimelist.net/anime/11665/Natsume_Yuujinchou_Shi,https://cdn.myanimelist.net/r/100x140/images/anime/3/37449.jpg?s=5feb674d132cc807e2fb1bb2a8689e62,Brain's Base,Manga,"['Slice of Life', 'Demons', 'Supernatural', 'Drama', 'Shoujo']",741,1740,TV,Jan 2012 - Mar 2012,184615,8.68,6867,110474,3243,1734,62559,184877,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
46,Ashita no Joe 2,https://myanimelist.net/anime/2921/Ashita_no_Joe_2,https://cdn.myanimelist.net/r/100x140/images/anime/3/45028.jpg?s=b3022f518e674c9c4c9be212b232ce66,Tokyo Movie Shinsha,Manga,"['Action', 'Drama', 'Shounen', 'Slice of Life', 'Sports']",3000,1420,TV,Oct 1980 - Aug 1981,27632,8.67,1222,12963,608,701,12254,27748,47,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
